tour_id|readcount_score|congestion_score|star_score|corona_score|senti|senti_count|senti_sum|senti_avg
3401|0.0002|0.520975|1.0|0.036325678496868484|[['중상', -2]]|1.0|-2.0|-2.0
3402|0.00015|0.5584|1.8|0.036325678496868484|[['도둑', -1]]|1.0|-1.0|-1.0
3403|0.37348|0.3591|0.0|0.036325678496868484||||
3404|0.06527999999999999|0.579175|0.0|0.036325678496868484||||
3405|0.00028000000000000003|0.54455|3.176|0.036325678496868484|[['맛', 2], ['최고', 2], ['환상', -2]]|3.0|2.0|0.6666666666666666
3406|0.00013000000000000002|0.5925|4.5|0.036325678496868484|[['최고', 2]]|1.0|2.0|2.0
3407|0.0001|0.480775|3.667|0.036325678496868484|[['고급', 2]]|1.0|2.0|2.0
3408|0.0002|0.588775|3.429|0.036325678496868484|[['강추', 2]]|1.0|2.0|2.0
3409|0.00014|0.46875|1.941|0.036325678496868484|[['강추', 2], ['고급', 2], ['만족', 2], ['맛', 2], ['사랑', 2], ['최고', 2], ['가치', 1], ['부자', 1], ['유명', 1], ['필수', 1], ['모양', 0], ['ㅠ', -1], ['신경질', -1], ['호', -1], ['부담', -2], ['불편', -2], ['실망', -2], ['짜증', -2], ['최악', -2]]|19.0|3.0|0.15789473684210525
3410|0.00016999999999999999|0.5738|5.0|0.036325678496868484|[['최고', 2], ['친절', 2]]|2.0|4.0|2.0
3411|0.00030000000000000003|0.6046|5.0|0.036325678496868484|[['최고', 2]]|1.0|2.0|2.0
3412|0.3558500000000001|0.0|1.19|0.036325678496868484|[['덕', 2], ['맑은', 2], ['맛', 2], ['최고', 2], ['안심', 1], ['정상', 1], ['친구', 1], ['피', 0], ['짜증', -2], ['후회', -2]]|10.0|7.0|0.7
3413|0.0405|0.3919|3.2880000000000003|0.036325678496868484|[['만족', 2], ['맛', 2], ['최고', 2], ['친절', 2], ['킹', 2], ['진리', 1], ['실망', -2], ['악의', -2], ['짜증', -2], ['최악', -2], ['최악', -2]]|11.0|1.0|0.09090909090909093
