,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
173,73,100,61,31,17,38,39,18,34,31,15,14
174,100,99,95,39,30,41,43,35,45,36,30,41
175,100,99,95,39,30,41,43,35,45,36,30,41
176,100,99,95,39,30,41,43,35,45,36,30,42
177,48,48,50,49,62,73,100,65,76,92,78,79
178,100,75,57,89,39,34,73,30,31,25,18,55
179,13,14,11,9,6,8,9,8,10,100,8,23
180,13,14,11,9,6,8,9,8,10,100,8,23
181,7,6,4,4,2,3,3,3,3,7,100,5
182,56,100,28,40,5,6,19,16,14,16,13,20
183,85,98,62,51,32,40,51,70,100,58,37,56
184,100,78,68,45,10,23,31,34,64,31,55,41
185,69,71,100,46,53,100,71,66,80,58,76,77
186,94,100,86,71,39,42,41,38,56,65,17,28
187,73,73,84,80,98,100,88,83,77,73,82,76
188,87,100,87,76,72,95,85,76,83,74,58,65
189,61,100,43,49,45,45,37,36,39,44,55,48
190,15,15,0,0,0,0,100,18,0,0,0,0
191,26,26,28,33,100,28,25,31,29,36,28,28
192,96,86,82,75,100,78,71,72,79,72,74,79
193,0,0,0,5,5,5,24,85,34,62,100,87
194,68,100,79,52,25,23,52,43,57,38,24,53
195,73,66,87,56,70,82,100,76,77,75,81,78
196,99,100,56,45,12,8,7,13,19,21,7,20
197,27,25,28,27,56,69,53,100,41,36,52,58
198,24,11,16,18,51,76,81,100,74,57,64,51
199,66,87,45,31,26,32,45,89,100,46,54,78
200,81,100,87,63,76,80,82,68,90,70,76,87
201,46,43,41,41,48,44,50,56,65,51,52,100
202,89,100,77,53,34,33,58,47,49,26,15,33
203,77,25,93,31,20,100,0,31,14,53,69,13
204,12,4,7,9,10,100,13,8,12,5,9,13
205,62,100,94,58,27,26,40,27,61,79,45,75
206,64,57,67,55,51,68,75,82,100,100,93,92
207,45,57,64,16,6,9,33,12,22,100,17,52
208,100,97,86,59,53,56,73,64,89,71,46,57
209,71,98,100,67,40,53,74,60,58,47,48,64
210,44,66,100,14,7,10,20,13,34,55,9,32
211,36,29,35,21,38,47,50,100,68,32,40,34
212,52,72,100,15,6,7,23,14,37,67,15,43
213,92,84,80,84,78,88,100,82,90,78,69,90
214,56,77,87,34,24,25,46,30,69,100,56,63
215,58,80,95,34,23,24,45,29,69,100,53,63
216,71,84,94,29,41,21,64,23,45,63,29,100
217,100,65,58,26,8,10,31,7,18,18,7,25
218,87,97,97,60,44,50,88,53,72,81,54,100
219,11,35,25,19,49,88,86,67,75,85,65,100
220,65,91,83,72,68,75,85,80,85,83,73,100
221,16,15,11,6,4,5,5,8,16,35,100,30
222,95,100,85,72,42,65,85,74,62,60,46,71
223,77,74,83,81,100,97,91,88,82,76,85,81
224,100,8,16,8,6,24,12,9,13,12,8,20
225,74,74,79,100,45,55,54,52,60,59,33,50
226,99,100,55,52,40,59,87,61,71,60,40,78
227,49,100,40,44,59,55,63,91,80,57,63,65
228,91,100,59,47,42,62,56,56,75,66,51,64
229,85,100,91,65,59,62,64,60,61,64,56,58
230,100,16,33,9,5,10,4,2,2,2,12,3
231,42,0,42,0,0,42,42,100,0,67,0,50
232,42,26,24,23,75,88,87,68,61,46,81,100
233,12,31,100,47,47,36,17,14,11,11,18,90
234,61,99,69,43,74,89,45,76,100,45,21,55
235,69,100,62,56,34,43,64,62,70,52,38,63
236,79,72,100,62,67,59,60,67,89,74,69,73
237,79,88,69,56,70,68,60,77,100,93,71,83
238,81,90,71,59,71,72,64,78,100,93,84,90
239,97,100,87,64,79,68,85,86,95,81,74,83
240,91,100,93,60,60,51,56,64,78,67,53,64
241,57,59,25,25,7,11,29,66,33,48,49,100
242,14,15,11,100,17,15,23,14,14,17,11,12
243,60,100,52,36,35,46,63,68,62,63,45,71
244,80,75,73,78,80,88,90,85,91,100,98,91
245,100,95,28,11,19,18,0,11,23,0,11,9
246,100,33,57,30,41,30,45,34,40,96,52,53
247,80,83,82,82,96,95,93,89,86,87,96,100
248,100,99,89,87,93,91,93,84,90,100,86,91
249,44,55,61,50,53,100,84,70,77,83,71,72
250,100,77,58,37,23,24,48,30,44,71,30,49
251,63,78,53,56,54,63,69,82,100,80,63,60
252,100,85,94,74,77,75,86,65,62,50,71,88
253,100,85,94,74,77,75,86,65,62,50,71,88
254,100,85,94,74,77,75,86,65,62,50,71,88
255,100,85,94,74,77,75,86,65,62,50,71,88
256,100,76,62,29,7,9,8,9,17,28,10,25
257,0,100,26,84,0,0,26,0,0,32,68,0
258,69,76,76,78,77,84,89,84,91,100,74,80
259,100,32,35,16,10,18,22,20,22,26,16,23
260,78,95,76,72,54,50,51,63,100,93,79,92
261,7,8,9,11,20,17,15,11,12,10,11,100
262,92,81,100,76,42,54,81,89,71,94,66,94
263,89,87,100,95,71,65,83,61,78,77,61,81
264,85,92,83,62,79,81,100,71,60,55,40,71
265,20,25,31,26,15,21,35,27,65,100,49,69
266,100,84,68,49,8,12,24,23,16,5,8,21
267,100,92,33,17,18,26,22,22,21,13,15,55
268,100,92,33,17,18,26,22,22,21,13,15,55
269,40,31,39,20,8,16,21,39,100,14,12,9
270,100,54,54,55,39,44,55,44,51,60,50,75
271,23,31,12,11,15,15,100,38,19,35,19,16
272,92,79,63,60,72,88,100,94,93,91,95,95
273,78,83,81,71,98,100,96,88,79,83,95,86
274,37,17,18,22,81,100,100,86,67,44,91,92
275,59,100,73,50,25,30,59,40,42,17,16,67
276,81,45,48,46,48,65,67,45,100,43,70,84
277,0,63,100,0,0,0,0,0,0,0,0,0
278,0,0,71,0,0,0,0,100,71,0,0,0
279,58,23,53,36,33,14,36,79,84,86,66,100
280,93,100,68,57,49,69,100,82,56,67,50,64
281,45,55,60,61,83,64,71,72,76,80,100,97
282,75,73,77,73,81,83,92,81,84,100,94,93
283,100,59,44,64,38,32,43,68,66,62,83,82
284,76,55,55,49,54,57,100,94,85,84,65,50
285,0,0,0,0,0,0,0,0,0,0,0,0
286,69,85,75,53,44,51,55,54,80,100,49,52
287,0,0,0,0,0,0,0,100,0,0,0,0
288,72,77,90,85,92,87,89,84,94,94,99,100
289,32,42,53,39,55,68,89,100,80,77,48,51
290,78,100,51,51,41,58,64,63,74,61,65,79
291,62,78,78,73,83,79,86,86,93,100,87,83
292,64,84,78,69,76,84,85,85,92,96,80,100
293,0,0,0,0,0,0,0,0,0,0,0,0
294,75,71,55,49,63,87,94,100,82,60,87,88
295,52,51,64,65,85,85,100,72,67,71,93,72
296,70,60,54,50,75,76,67,58,100,79,72,76
297,100,82,69,48,54,64,82,72,71,60,68,73
298,77,74,92,87,98,100,87,82,81,85,91,83
299,54,68,55,43,44,45,63,67,100,61,34,42
300,100,0,63,0,0,0,0,0,75,0,0,0
301,73,99,100,21,7,8,10,6,27,8,3,6
302,0,0,0,0,0,0,0,0,0,0,0,0
303,23,18,0,8,6,11,19,10,12,4,15,100
304,44,56,58,20,13,18,20,53,78,100,26,69
305,0,39,5,0,0,25,0,100,4,5,0,0
306,79,95,81,57,45,42,48,47,100,94,80,84
307,89,86,82,100,86,75,58,51,59,59,64,63
308,65,100,78,52,42,45,49,41,49,45,36,53
