,tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
1708,1709,11,27,52,26,2.8017,3,116,2020/10/14 14:28
1709,1710,4,20,54,26,2.9808,3,104,2020/10/14 14:28
1710,1711,7,18,64,15,2.8365,3,104,2020/10/14 14:28
1711,1712,31,35,58,9,2.3383,3,133,2020/10/14 14:28
1712,1713,14,19,41,24,2.7653,3,98,2020/10/14 14:28
1713,1714,31,24,44,13,2.3482,3,112,2020/10/14 14:28
1714,1715,25,20,17,3,1.9692,1,65,2020/10/14 14:28
1715,1716,3,22,54,22,2.9406,3,101,2020/10/14 14:28
1716,1717,13,31,82,30,2.8269,3,156,2020/10/14 14:28
1717,1718,28,14,29,13,2.3214,3,84,2020/10/14 14:28
1718,1719,5,39,73,19,2.7794,3,136,2020/10/14 14:28
1719,1720,19,56,92,24,2.6335,3,191,2020/10/14 14:28
1720,1721,25,32,40,11,2.3426,3,108,2020/10/14 14:28
1721,1722,0,18,27,7,2.7885,3,52,2020/10/14 14:28
1722,1723,32,17,36,13,2.3061,3,98,2020/10/14 14:28
1723,1724,21,15,33,7,2.3421,3,76,2020/10/14 14:28
1724,1725,24,15,33,9,2.3333,3,81,2020/10/14 14:28
1725,1726,32,17,32,15,2.3125,1,96,2020/10/14 14:28
1726,1727,16,15,28,5,2.3438,3,64,2020/10/14 14:28
1727,1728,24,15,33,9,2.3333,3,81,2020/10/14 14:28
1728,1729,16,27,54,17,2.6316,3,114,2020/10/14 14:28
1729,1730,9,26,76,15,2.7698,3,126,2020/10/14 14:28
1730,1731,4,22,33,10,2.7101,3,69,2020/10/14 14:28
1731,1732,6,8,30,5,2.6939,3,49,2020/10/14 14:28
1732,1733,6,8,30,5,2.6939,3,49,2020/10/14 14:28
1733,1734,6,8,30,5,2.6939,3,49,2020/10/14 14:28
1734,1735,19,27,40,6,2.3587,3,92,2020/10/14 14:28
1735,1736,5,34,82,24,2.8621,3,145,2020/10/14 14:28
